id,name,description,address,city,state,zip_code,phone,email,website,services,website_valid
1,Acushnet Alternative Heating,"Acushnet Alternative Heating brings innovative solutions to the table, empowering homeowners to take control of their indoor climate. Our solar services, ductless HVAC systems, and air source heat pumps provide efficient and eco-friendly heating and cooling options. Additionally, our fireplaces offer a cozy touch to any room. Trust us to find the perfect solution for your unique needs.","127 South Main Street, Acushnet, MA 02743",Acushnet,MA,2743,17742026666,,http://acushnetalternativeheating.com,"[""Solar services, Ductless HVAC, Heating, Cooling, Air Source Heat Pumps, Fireplaces""]",True
2,"Advanced Improvements, Inc.","Advanced Improvements, Inc. revolutionizes the way you think about your home or business. With a comprehensive range of professional solar, roofing, and HVAC design and installation services, we help you optimize your energy efficiency, reduce your carbon footprint, and increase your property value. From solar photovoltaic systems to tankless water heaters, our experts deliver tailored solutions for commercial and residential properties.","5031 E Orangethorpe Ave., Anaheim, CA 92807",Anaheim,CA,92807,17146306611,info@advancedimprovementsinc.com,http://www.advancedimp.com,"[""Professional Solar, Roofing & HVAC Design & Installation Services. Also offers: Solar Photovoltaic, Roofing, Heating & Air Conditioning, Tankless Water Heaters, Home Energy Audits, Commercial, Residential""]",True
3,AAPCO Home Improvement,"AAPCO Home Improvement - your trusted partner for a wide range of home renovation and improvement solutions. From bathrooms to solar panels, windows to doors, and outdoor living spaces to roofing and gutters, we've got you covered. Our expert team uses only the highest-quality materials and latest technologies to transform your home into a beautiful and functional space that reflects your unique style and meets your needs.","6710 US-1, North Chesterfield, VA 23237",North Chesterfield,VA,23237,18042074906,info@aapcohi.com,http://www.aapcohi.com/,"[""Bathrooms, Solar Panels, Windows, Doors, Outdoor Living, Roofing, Gutters, Siding, Bathroom Conversions, Bathtub Replacement, Walk-in Tubs, Shower Replacement, Low Barrier Showers, One Day Remodel, Bath Wall Surrounds, Shower Wall Surrounds, Shower Bases, Window Replacement, Window Styles, Energy Efficient Windows, ProVia Windows, Door Replacement, Door Styles, Entry Doors, Patio Doors, ProVia Doors, Solar Panel Installation, Solar Batteries, Roof Replacement, Roof Types, Metal Roofing, GAF Roofing, Gutters, Gutter Guards, Seamless Gutters, Siding Replacement, Siding Types, Vinyl Siding, Soffit and Fascia, Decks, Sunrooms, 3-Season Rooms, 4-Season Rooms, Porch Covers""]",True
4,All Seasons Restoration,"At All Seasons Restoration, we're dedicated to providing top-notch roofing and restoration services for both commercial and residential properties. From metal roofs to insurance claims, our expert team is equipped to handle any project. We also offer paint, soffit replacement, gutter installation, window replacement, and siding & fascia replacement services. Trust us to get the job done right, every time.","1819 Warren Ave, Suite B, Cheyenne, Wyoming, 82001",Cheyenne,WY,82001,13073655470,tim@myallseasons.com,http://www.myallseasonscheyenne.com,"[""Roofing and restoration services including commercial and residential roofing, metal roofs, insurance claims, paint, soffit replacement, gutter installation, window replacement, siding & fascia replacement.""]",True
5,LLM Error Handling,"LLM Error Handling Information revolutionizes business operations by empowering organizations to detect and resolve errors with unparalleled efficiency. Leveraging cutting-edge technology, our innovative solutions enable seamless identification of errors, swift resolution, and guaranteed data integrity, freeing up resources for strategic growth and innovation.","2415, Burdette St., Ferndale, MI, 48220",Ferndale,MI,48220,13133641584,errorhandling@example.com,http://www.distributedpower.net/,"[""Error Detection and Resolution""]",False
6,Integrity Electric & Solar,"At Integrity Electric & Solar, we empower homes and businesses to harness the power of renewable energy. Our team of experts provides top-notch electrical and solar services, ensuring a seamless transition to a sustainable future.","11484 FM 2868 Unit O, Flint, TX, 75762",Flint,TX,75762,19035390098,not available,http://www.integrityelectricsolar.com,"[""Electric and solar services""]",False
7,Gateway Clean Energy,"Gateway Clean Energy is a pioneering force in the clean energy revolution, harnessing the power of innovation to create a sustainable future. With a focus on automation and efficiency, we empower businesses and individuals to reduce their carbon footprint and thrive in a world driven by renewable energy.","302 Elati Street, Denver, CO 80223",Denver,CO,80223,8334236749,not available,http://www.gatewaycleanenergy.com,"[""Clean Energy Services""]",False
8,DeGram Electric,"At DeGram Electric, we empower commercial, industrial, residential, and agricultural properties to thrive with our comprehensive electrical services. Our expert team provides top-notch troubleshooting, motion sensor installation, sign lighting, perimeter lighting, motor controls, and more. We also specialize in landscape lighting, electrical box installation, appliance hookups, storm damage repair, fuse box repair, security lighting, and correcting electrical violations. Trust us to keep your property running smoothly and efficiently.","2652 W Kendaville Rd, Stanton, MI, 48888-9628",Stanton,MI,9628,19897625466,Gary@degramelectric.com,http://www.degramelectric.com/,"[""Complete electrical services for commercial, industrial, residential, and agricultural properties. Troubleshooting, motion sensor installation, sign lighting, perimeter lighting, motor controls, complete cabling, outlet installations, service upgrades. Landscape lighting, electrical boxes, appliance hookups, storm damage, fuse box repair, security lighting, electrical violations corrected.""]",True
9,Freedom Power,"At Freedom Power, we harness the power of technology to streamline business processes, unlocking efficiency and productivity. Our cutting-edge solutions empower organizations to thrive in a rapidly changing landscape, driving growth and profitability.","7701 Soto Ln, Jacksonville, AR, 72076",Jacksonville,AR,72076,15016218788,not available,http://www.freedompowerar.com,"[""This site is not published or does not have a domain assigned to it.""]",False
10,SunLogic,"At SunLogic Information, we empower businesses to harness the power of solar energy, roof replacements, electric vehicle charging stations, and energy-efficient upgrades. Our comprehensive solutions help organizations reduce their carbon footprint, lower operating costs, and increase their bottom line.","599 Albany Ave, Unit C, Amityville, NY, 11701",Amityville,NY,11701,16318259388,info@gosunlogic.com,http://www.gosunlogic.com,"[""Solar energy systems, roof replacements, electric vehicle charging stations, and other energy-efficient upgrades.""]",False
