id,name,description,address,city,state,state1,zip_code,telephone1,email1,website1,website_screenshot_url,uuid_id,name_slug,approved,services,certification,business_products_services
1,Allterra Solar,"Allterra Solar is a locally owned solar company serving Santa Cruz, Monterey, and the Central Coast since 2004. They help homeowners and businesses lower energy costs and reduce their environmental impact with smart, reliable solar energy solutions.","207-B McPherson Street, Santa Cruz, CA, 95060",Santa Cruz,Massachusetts,MA,95060,831 425 2608,info@allterrasolar.com,https://www.allterrasolar.com,,,,,,,"Residential and commercial solar panel installation, energy storage and solar batteries, solar financing and tax incentives, system maintenance and monitoring."
2,Ally Electric & Solar,Top-rated Bay Area solar & electric company since 2001. Licensed electrical contractor with over 20 years of expertise. Authorized Tesla installer.,"855 Marina Bay Pkwy, Ste. 280, Richmond, CA 94804",Richmond,California,CA,94804,510 55 7700,"info@allyelectricandsolar.com, nsaglam@allyelectricandsolar.com",https://www.allyelectricandsolar.com,,,,,,,"Solar panel installation, EV charger installation, Electrical services (Residential & Commercial), Battery storage solutions"
3,"A.L.M. Electric Co., Inc.","Founded in 1986, A.L.M. Electric Co., Inc. is a licensed, bonded and insured electrical contractor.","19 Flanders Netcong Rd, Flanders, NJ, 07836",Flanders,Virginia,VA,7836,73 402 2211,mruccio@almelect.com,https://www.almelect.com,,,,,,,"Commercial & Industrial Electrical Contractor. Services include electrical projects such as new construction, upgrades, renovation or expansion, and improvements for new tenant."
4,Almeida Roofing,For over 40 years providing home and business owners the best roofing Services. Arizona Roofing Experts!,"515 E. Carefree Hwy, PMB 855, Phoenix, AZ 85085",Phoenix,Wyoming,WY,85085,602 743 3175,,https://www.almeidaroofing.com,,,,,,,"Roofing and maintenance services for most types of roofing jobs, and most roofing materials. Services include tile roofs, shingle roofs, shakes roofs, coatings, granulated rubberized roof systems, modified, and foam."
5,Almika Solar,"Almika Solar is an innovative power company leading the pack of environmentally-conscious energy providers in Texas. At Almika, we’re focused on providing top-notch utility services to the families across the state. We strive to match Texans with sustainable solar energy plans that are tailored to their unique budget, lifestyle, and professional needs. The power bill doesn’t have to break the bank—or put a strain on the environment! By relying on renewable solar energy generated by the sun, Almika is able to provide customers with the best of both worlds—budget-friendly, planet-protecting energy plans and packages.","PO Box 830473, Richardson, TX, 75080",Not available,Michigan,MI,75080,1 888 481 1782,,https://www.almikasolar.net,,,,,,,"24/7 Support, Money Saver, Trusted Service, Secure Energy"
6,Aloe Solar,"Aloe Solar is a small family run business, working out of the Santa Clarita Valley, and services the greater Los Angeles, Ventura, and Bakersfield areas. They are driven by the desire to protect their futures from the impacts of climate change and believe that everyone deserves to be part of the solution. Their dream is to build a solar company that is more inclusive by offering affordable solar solutions to homeowners and businesses so that anyone who wants to go solar, can go solar.","27827 Ferguson Dr, Castaic, CA, 91384",Santa Clarita Valley,California,CA,91384,818 614 7763,info@aloesolar.com,https://www.aloesolar.com,,,,,,,"Services: Solar Installation, Maintenance and Repairs, Battery Storage. Go Solar in 2025 and take advantage of the 30% federal tax credit."
7,Aloha Solar Power & Electrical Services Inc.,"Locally owned and operated out of Encinitas, CA, Aloha Solar Power is a small business that always puts the customer first. We listen to what is most important to you and offer customized solutions to meet your needs. We offer competitive pricing and a personalized experience that is unique for every homeowner. You will not be passed from sales person to a project manager, to installer. The same well-trained professional will be there every step of the way from sale to final inspection. Rest assured the work will be completed by a team with the following certifications: Licensed Electrician NABCEP PV installation professional NABCEP PV technical sales professional OSHA 30 certified.","Encinitas, CA",Encinitas,California,CA,92041,808 344 7673,gabe@alohasolarpower.com,https://www.alohasolarpower.com,,,,,,,"Provides solar, battery, EV charger, electrical services and more. Locally owned and operated out of Encinitas, CA. Offers competitive pricing and a personalized experience. Serves Southern California: San Diego, Chula Vista, East County, North County, Orange County."
8,Alpenglow Energy,"Founded in 2010, we've earned a reputation as Utah's premier solar and electric contractor. With decades of combined experience in designing and installing all aspects of solar and electrical systems, we do the legwork of making sure we are compliant with all state and local zoning and building codes, and HOA regulations.","725 Parkway Drive, Unit A, Park City, UT, 84098",Park City,Utah,UT,84098,801 262 5140,,https://www.alpenglowenergy.com,,,,,,,"Utah’s energy expert. Founded in 2010, we've earned a reputation as Utah's premier solar and electric contractor. We built our reputation through word of mouth, by providing quality services and products, and by always listening and responding to our clients’ questions and concerns. Full-Service Specialists Alpenglow Energy is a full-service electrical contractor specializing in custom design/build projects, remodels, lighting design, lighting control, home automation, LED upgrades, heat tape, service calls, etc. At Alpenglow Energy we have been providing solar energy solutions for homes and businesses for over a decade. With thousands of systems installed across numerous states, we can provide you with a custom solar design that meets your needs and priorities. From a new solar photovoltaic (PV) system to expansions and service calls, our team of experts has the knowledge and experience to provide the highest quality installation in the industry. Energy Independence The installation of a generator or battery system can take you one step closer to energy independence and provide backup power for peace of mind during grid failure. We install and maintain Generac, Tesla, Enphase, SimpliFi, LG Chem and all other brands of batteries and generators."
9,Alpha & Omega Solar Consulting,"Founded in 2010, Alpha & Omega Solar Consulting is a leading provider of solar energy solutions. With over a decade of experience, we help businesses and homeowners save on energy costs while reducing their carbon footprint.","9245 Laguna Springs Drive, Suite 200, Elk Grove, CA 95758",San Diego,California,CA,92101,1 123 456 780,info@alphaomegasolar.com,https://www.alphaomegasolar.com,,,,,,,"Solar consulting services, installation, and maintenance"
10,Alpha & Omega Electric LLC,"Provides residential, commercial, and industrial customers with a complete range of electrical services.","9531 31st Ave.SE, Everett, WA 98208",Seattle,Washington,WA,98101,"425 337 3006, 425 327 260",Nathan@AOEcustom,https://www.aoecustom.com,,,,,,,"Residential, commercial, and industrial customers throughout the Puget Sound region with a complete range of electrical services."
11,Alpha Energy,Alpha Energy is a company that provides energy services and products. It is registered with Register.com.,"409 Chester Ave., Suite B, Annapolis, MD, 21403",,Maryland,CA,21403,Not Available,,https://www.alpha-energy.com,,,,,,,Energy services and products
12,Alpha One Construction Inc.,"Long-standing company that is fully licensed, bonded, and insured as a B-General Contractor and a C39 Roofing Contractor.","5827, Franklin Ave, Los Angeles, CA, 90028",Los Angeles and Ontario,California,CA,90028 and 91764,888 414 4480,info@alphaonec.com,https://www.alphaoneconstructioninc.com,,,,,,,"Residential General Contractor specializing in new construction, room additions, kitchen remodeling, bathroom remodeling, landscape, patios, decks, hardscape, driveways, sidewalks, fire and water damage restoration, flooring, garage conversion, accessory dwelling units, energy efficiency solutions including solar systems, roofing, windows & doors replacement, exterior paint, cool life insulation, artificial turf, and tankless HVAC."
13,"Alpha Solar Solutions, LLC","Alpha Solar Solutions is a trusted solar partner in San Antonio, committed to long-term savings and sustainability. They offer precision engineering, expert craftsmanship, and a passion for cleaner energy with a 25-year panel warranty and ongoing support.","4243 E Piedras, Suite 250, San Antonio, TX, 78228",San Antonio,Texas,TX,78228,210 783 0507,info@alphasolarsa.com,https://www.alphasolarsa.com,,,,,,,"Solar panel installation (residential and commercial), solar panel cleaning, solar removal & reinstallation, battery backup options."
14,Alpine Roofing Construction,"Alpine Roofing Construction has been serving the residential and commercial roofing industry for over two decades, specializing in roofing and metal roof systems in the Dallas/Fort Worth, Texas area.","13528 Floyd Circle, Dallas, TX, 75243",Dallas,Texas,TX,75243,214 528 87,,https://www.alpineroofingconstruction.com,,,,,,,"Commercial roofing services including low slope roofing, metal roofing, steep slope roofing, roof coatings, and other services like commercial construction, rain gutters, power washing, and translucent panel systems."
15,Alpine Solar,A local company providing solar and alternative energy solutions with a focus on American-made products and customer satisfaction.,"Park City, Utah",Orem,Utah,UT,84058,888 501 635,,https://www.alpinesolar.net/,,,,,,,"Solar energy systems, energy storage, heat pumps for residential, commercial, and government clients."
16,Alt E Wind & Solar,Alt-E Wind and Solar is a locally established and privately owned Colorado solar company with nearly three decades of experience in the renewable energy industry.,"734 Elk Ranch Lane, Fort Collins, Colorado, 80524",Fort Collins,Colorado,CO,80524,70 482 SOLAR 7652,info@altewindandsolar.com,https://www.altewindandsolar.com,,,,,,,"Residential and commercial solar panel system design, engineering, installation, monitoring, and maintenance."
17,Alten Construction,Founded in 1995 by Bob and Shannon Alten. Alten Construction is a general contractor in the San Francisco Bay Area.,"1141 Marina Way, South Richmond, CA, 94804",Richmond,California,CA,94804,510 234 4200,,https://www.altenconstruction.com,,,,,,,"General contractor specializing in commercial buildings, education, sustainable laboratories, and historic seismic & structural projects. Services include preconstruction, construction phase, trades, suppliers, and project handover."
18,Alternative Power Enterprises,Alternative Power Enterprises is a solar energy company offering energy independence since 1992.,"672 North Cora Street, PO Box 351, Ridgway, CO, 81432",Montrose,Colorado,CO,81401,70 626 842,info@alternative-power.com,https://www.alternative-power.com,,,,,,,"Solar system design, solar system installation, solar system maintenance and repair services. Specializes in ground and roof-mounted photovoltaic solar power systems, both grid-tied and off-grid."
