id,name,description,address,city,state,zip_code,phone,email,website,services
1,Acushnet Alternative Heating,"Solar services, Ductless HVAC, Heating, Cooling, Air Source Heat Pumps, Fireplaces","127 South Main Street, Acushnet, MA 02743",Acushnet,MA,2743,17742026666,,http://acushnetalternativeheating.com,"[""Solar services, Ductless HVAC, Heating, Cooling, Air Source Heat Pumps, Fireplaces""]"
2,"Advanced Improvements, Inc.","Professional Solar, Roofing & HVAC Design & Installation Services. Also offers: Solar Photovoltaic, Roofing, Heating & Air Conditioning, Tankless Water Heaters, Home Energy Audits, Commercial, Residential","5031 E Orangethorpe Ave., Anaheim, CA 92807",Anaheim,CA,92807,17146306611,info@advancedimprovementsinc.com,http://www.advancedimp.com,"[""Professional Solar, Roofing & HVAC Design & Installation Services. Also offers: Solar Photovoltaic, Roofing, Heating & Air Conditioning, Tankless Water Heaters, Home Energy Audits, Commercial, Residential""]"
3,AAPCO Home Improvement,"Bathrooms, Solar Panels, Windows, Doors, Outdoor Living, Roofing, Gutters, Siding, Bathroom Conversions, Bathtub Replacement, Walk-in Tubs, Shower Replacement, Low Barrier Showers, One Day Remodel, Bath Wall Surrounds, Shower Wall Surrounds, Shower Bases, Window Replacement, Window Styles, Energy Efficient Windows, ProVia Windows, Door Replacement, Door Styles, Entry Doors, Patio Doors, ProVia Doors, Solar Panel Installation, Solar Batteries, Roof Replacement, Roof Types, Metal Roofing, GAF Roofing, Gutters, Gutter Guards, Seamless Gutters, Siding Replacement, Siding Types, Vinyl Siding, Soffit and Fascia, Decks, Sunrooms, 3-Season Rooms, 4-Season Rooms, Porch Covers","6710 US-1, North Chesterfield, VA 23237",North Chesterfield,VA,23237,18042074906,info@aapcohi.com,http://www.aapcohi.com/,"[""Bathrooms, Solar Panels, Windows, Doors, Outdoor Living, Roofing, Gutters, Siding, Bathroom Conversions, Bathtub Replacement, Walk-in Tubs, Shower Replacement, Low Barrier Showers, One Day Remodel, Bath Wall Surrounds, Shower Wall Surrounds, Shower Bases, Window Replacement, Window Styles, Energy Efficient Windows, ProVia Windows, Door Replacement, Door Styles, Entry Doors, Patio Doors, ProVia Doors, Solar Panel Installation, Solar Batteries, Roof Replacement, Roof Types, Metal Roofing, GAF Roofing, Gutters, Gutter Guards, Seamless Gutters, Siding Replacement, Siding Types, Vinyl Siding, Soffit and Fascia, Decks, Sunrooms, 3-Season Rooms, 4-Season Rooms, Porch Covers""]"
4,All Seasons Restoration,"Roofing and restoration services including commercial and residential roofing, metal roofs, insurance claims, paint, soffit replacement, gutter installation, window replacement, siding & fascia replacement.","1819 Warren Ave, Suite B, Cheyenne, Wyoming, 82001",Wyoming,"WY, NE, CO",82001,13073655470,tim@myallseasons.com,http://www.myallseasonscheyenne.com,"[""Roofing and restoration services including commercial and residential roofing, metal roofs, insurance claims, paint, soffit replacement, gutter installation, window replacement, siding & fascia replacement.""]"
5,LLM Error Handling,Error Detection and Resolution,"2415, Burdette St., Ferndale, MI, 48220",MI,MI,48220,13133641584,errorhandling@example.com,http://www.distributedpower.net/,"[""Error Detection and Resolution""]"
6,Integrity Electric & Solar,Electric and solar services,"11484 FM 2868 Unit O, Flint, TX, 75762",TX,TX,75762,19035390098,,http://www.integrityelectricsolar.com,"[""Electric and solar services""]"
7,Gateway Clean Energy,Clean Energy Services,"302 Elati Street, Denver, CO 80223",Denver,CO,80223,8334236749,,http://www.gatewaycleanenergy.com,"[""Clean Energy Services""]"
8,DeGram Electric,"Complete electrical services for commercial, industrial, residential, and agricultural properties. Troubleshooting, motion sensor installation, sign lighting, perimeter lighting, motor controls, complete cabling, outlet installations, service upgrades. Landscape lighting, electrical boxes, appliance hookups, storm damage, fuse box repair, security lighting, electrical violations corrected.","2652 W Kendaville Rd, Stanton, MI, 48888-9628",MI,MI,488889628,19897625466,,http://Not provided,"[""Complete electrical services for commercial, industrial, residential, and agricultural properties. Troubleshooting, motion sensor installation, sign lighting, perimeter lighting, motor controls, complete cabling, outlet installations, service upgrades. Landscape lighting, electrical boxes, appliance hookups, storm damage, fuse box repair, security lighting, electrical violations corrected.""]"
9,Freedom Power,This site is not published or does not have a domain assigned to it.,"7701 Soto Ln, Jacksonville, AR, 72076",AR,AR,72076,15016218788,,http://www.freedompowerar.com,"[""This site is not published or does not have a domain assigned to it.""]"
10,SunLogic,"Solar energy systems, roof replacements, electric vehicle charging stations, and other energy-efficient upgrades.","599 Albany Ave, Unit C, Amityville, NY, 11701",NY,CA,11701,16318259388,info@gosunlogic.com,http://www.gosunlogic.com,"[""Solar energy systems, roof replacements, electric vehicle charging stations, and other energy-efficient upgrades.""]"
11,BizSugar,"Description of business, products, or services offered",United States,,CA,,18775114949,,http://Company website,"[""Description of business, products, or services offered""]"
12,A-C Electric Company,"Electrical construction, automation solutions, and commercial solar contractor","Bakersfield, CA",Bakersfield,CA,,16614100000,,http://www.a-celectric.com/,"[""Electrical construction, automation solutions, and commercial solar contractor""]"
13,Ideal Solar,"Solar Energy for Residential, Commercial & Industrial Properties","1300 N 10th St., Suite 440, McAllen, TX, 78501",TX,TX,78501,19565407852,info@goidealsolar.com,http://www.goidealsolar.com/,"[""Solar Energy for Residential, Commercial & Industrial Properties""]"
14,Graves Bros. Home Improvement,"Roofing, Solar, Siding, Windows, Doors, Insulation, Gutters, Home Performance Program, Handyman Repair Services, Kitchen & Bathroom Remodeling, Commercial Roofing & Siding","755 Winton Rd N, Rochester, NY, 14609",NY,NY,14609,15852883390,info@gravesbros.com,http://www.gravesbros.com,"[""Roofing, Solar, Siding, Windows, Doors, Insulation, Gutters, Home Performance Program, Handyman Repair Services, Kitchen & Bathroom Remodeling, Commercial Roofing & Siding""]"
15,A-Tech Electric,"Electrical services ranging from changing light bulbs to installing solar panels, panel upgrades, electrical layout, design, wiring, installation/upgrades, emergency power solutions, Solar Panels, EV Vehicle Charger, Panel Upgrade & Installation, Wiring, Remodels & Additions, HVAC , Installation of heating and cooling systems , Smart Home, Flat Panel TV Installation, Home Theater, Custom Lighting, Security Systems, Security Cameras, Burglar Alarm Systems, Electronic Gates, Security Lighting, electrical maintenance","3818 South Crenshaw Blvd, Los Angeles, CA, 90008",CA,CA,90008,13236914871,info@yourdomain.com,http://www.atechelectric.us,"[""Electrical services ranging from changing light bulbs to installing solar panels, panel upgrades, electrical layout, design, wiring, installation/upgrades, emergency power solutions, Solar Panels, EV Vehicle Charger, Panel Upgrade & Installation, Wiring, Remodels & Additions, HVAC , Installation of heating and cooling systems , Smart Home, Flat Panel TV Installation, Home Theater, Custom Lighting, Security Systems, Security Cameras, Burglar Alarm Systems, Electronic Gates, Security Lighting, electrical maintenance""]"
